"exp","id","block","trial","isold","condition1","condition2","rating","RT_CONF","RT_ON","excluding"
"ZSB2021_e1","ZSB2021_e1_37",3,87,1,"older","AssocMemFirst",4,370,4233,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,88,1,"older","AssocMemFirst",12,330,2166,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,89,0,"older","AssocMemFirst",4,2632,4072,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,90,0,"older","AssocMemFirst",3,2833,3706,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,91,0,"older","AssocMemFirst",2,2161,2898,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,92,0,"older","AssocMemFirst",11,2575,2446,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,93,1,"older","AssocMemFirst",10,1723,3267,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,94,1,"older","AssocMemFirst",10,1332,4185,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,95,0,"older","AssocMemFirst",10,1366,3186,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,96,0,"older","AssocMemFirst",2,2641,2906,"Include"
"ZSB2021_e1","ZSB2021_e1_37",3,97,0,"older","AssocMemFirst",4,1247,3963,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,60,0,"older","AssocMemFirst",4,2265,6023,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,61,1,"older","AssocMemFirst",12,671,1945,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,62,0,"older","AssocMemFirst",9,659,5775,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,63,0,"older","AssocMemFirst",4,1995,3283,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,64,0,"older","AssocMemFirst",9,1714,3774,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,65,1,"older","AssocMemFirst",12,1059,2201,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,66,0,"older","AssocMemFirst",11,1648,3697,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,67,0,"older","AssocMemFirst",9,807,8897,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,68,1,"older","AssocMemFirst",12,48,2682,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,69,1,"older","AssocMemFirst",4,972,6193,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,70,1,"older","AssocMemFirst",12,201,2032,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,71,0,"older","AssocMemFirst",3,1641,4156,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,72,1,"older","AssocMemFirst",11,703,3154,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,73,0,"older","AssocMemFirst",2,1507,3133,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,74,0,"older","AssocMemFirst",10,235,4817,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,75,0,"older","AssocMemFirst",2,1653,2452,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,76,0,"older","AssocMemFirst",2,1451,2309,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,77,0,"older","AssocMemFirst",2,1434,5100,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,78,0,"older","AssocMemFirst",10,729,4339,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,79,1,"older","AssocMemFirst",3,2375,6255,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,80,1,"older","AssocMemFirst",3,1246,3803,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,81,0,"older","AssocMemFirst",1,1346,2983,"Include"
"ZSB2021_e1","ZSB2021_e1_37",1,82,1,"older","AssocMemFirst",4,1687,4671,"Include"
