"exp","id","condition1","block","trial","isold","rating","RT","excluding"
"JCM2019_e1","JCM2019_e1_1","Old65",2,62,1,3,1040,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,63,1,5,2381,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,64,1,2,1023,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,65,1,6,973,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,66,1,6,907,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,67,1,2,1018,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,68,1,2,947,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,69,1,2,1041,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,70,1,5,1603,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,71,0,2,958,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,72,1,2,829,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,73,0,2,881,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,74,1,6,963,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,75,1,6,1057,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,76,1,1,768,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,77,0,5,1135,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,78,1,6,1029,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,79,0,1,877,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,80,1,5,2787,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,81,1,5,974,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,82,0,1,1283,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,83,0,1,1480,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,84,0,5,1523,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,85,1,5,1720,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,86,0,5,1008,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,87,1,6,907,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,88,0,2,1206,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,89,0,3,1638,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,90,1,2,1075,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,91,0,3,1447,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,92,0,5,1580,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,93,1,5,1247,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,94,1,2,1400,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,95,1,6,1634,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,96,0,5,1168,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,97,1,5,1602,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,98,1,6,883,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,99,1,6,2482,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,100,1,6,784,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,1,0,2,1587,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,2,1,5,1191,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,3,1,5,1001,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,4,1,2,2196,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,5,0,2,1159,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,6,1,6,763,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,7,0,2,869,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,8,1,5,2045,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,9,0,2,944,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,10,1,6,813,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,11,0,6,974,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,12,0,2,906,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,13,1,5,1297,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,14,0,2,1567,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,15,0,2,1866,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,16,1,6,898,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,17,1,2,1934,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,18,0,2,884,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,19,1,6,788,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,20,1,6,787,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,21,1,2,1036,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,22,1,6,1173,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,23,1,6,649,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,24,1,6,1223,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,25,1,2,1193,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,26,1,2,1684,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,27,1,2,1005,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,28,0,2,743,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,29,1,6,845,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,30,1,6,629,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,31,0,6,774,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,32,1,5,1862,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,33,0,2,1133,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,34,0,1,729,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,35,1,6,917,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,36,1,6,714,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,37,1,5,1448,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,38,0,2,864,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,39,1,6,885,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,40,1,5,1411,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,41,0,1,830,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,42,0,1,886,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,43,1,6,786,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,44,0,6,1523,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,45,1,6,863,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,46,0,1,1304,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,47,0,2,1461,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,48,0,2,1124,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,49,1,5,1273,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,50,0,6,895,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,51,1,2,837,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,52,1,6,798,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,53,0,2,1384,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,54,0,2,658,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,55,0,2,787,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,56,0,2,676,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,57,1,2,619,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,58,1,2,869,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,59,0,2,854,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,60,0,1,1289,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,61,1,5,1274,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,62,0,2,866,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,63,0,2,956,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,64,1,3,740,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,65,1,2,2226,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,66,0,5,1083,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,67,0,2,857,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,68,0,2,739,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,69,0,1,801,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,70,1,5,1551,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,71,0,2,717,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,72,0,6,1094,"Include"
