"exp","id","isold","rating","RT","excluding","trial","condition1"
"KL2012_e2","KL2012_e2_45",1,5,2028,"Include",93,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,4206,"Include",94,"Block1"
"KL2012_e2","KL2012_e2_45",1,4,6741,"Include",95,"Block1"
"KL2012_e2","KL2012_e2_45",1,5,1493,"Include",96,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,6522,"Include",1,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,5560,"Include",2,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,3300,"Include",3,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,3371,"Include",4,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,4065,"Include",5,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,2581,"Include",6,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,4083,"Include",7,"Block1"
"KL2012_e2","KL2012_e2_46",0,1,1819,"Include",8,"Block1"
"KL2012_e2","KL2012_e2_46",0,1,1674,"Include",9,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,2967,"Include",10,"Block1"
"KL2012_e2","KL2012_e2_46",1,3,1757,"Include",11,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,1873,"Include",12,"Block1"
"KL2012_e2","KL2012_e2_46",0,1,3788,"Include",13,"Block1"
"KL2012_e2","KL2012_e2_46",0,5,4285,"Include",14,"Block1"
"KL2012_e2","KL2012_e2_46",0,5,2447,"Include",15,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,1459,"Include",16,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,941,"Include",17,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,1425,"Include",18,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,1017,"Include",19,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,2734,"Include",20,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,1902,"Include",21,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,4534,"Include",22,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,983,"Include",23,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,4854,"Include",24,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,1754,"Include",25,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,1427,"Include",26,"Block1"
"KL2012_e2","KL2012_e2_46",1,3,3338,"Include",27,"Block1"
