"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,500,"Include",199
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,650,"Include",200
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1700,"Include",201
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1000,"Include",202
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,800,"Include",203
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,750,"Include",204
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1300,"Include",205
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1350,"Include",206
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,900,"Include",207
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1400,"Include",208
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1000,"Include",209
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1200,"Include",210
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1300,"Include",211
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1250,"Include",212
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,450,"Include",213
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1300,"Include",214
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,950,"Include",215
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,950,"Include",216
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,450,"Include",217
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,750,"Include",218
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,2050,"Include",219
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1400,"Include",220
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,950,"Include",221
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,800,"Include",222
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1100,"Include",223
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,950,"Include",224
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,450,"Include",225
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,800,"Include",226
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,750,"Include",227
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,2100,"Include",228
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,800,"Include",229
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1217,"Include",230
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,800,"Include",231
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1817,"Include",232
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1250,"Include",233
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,650,"Include",234
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,700,"Include",235
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,950,"Include",236
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,600,"Include",237
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,550,"Include",238
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,500,"Include",239
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1350,"Include",240
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,4617,"Include",241
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,1000,"Include",242
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1600,"Include",243
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1200,"Include",244
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1500,"Include",245
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,2250,"Include",246
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1717,"Include",247
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,950,"Include",248
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,850,"Include",249
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1150,"Include",250
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1050,"Include",251
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1617,"Include",252
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,2100,"Include",253
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,600,"Include",254
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1500,"Include",255
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",256
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1350,"Include",257
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,400,"Include",258
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1400,"Include",259
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,850,"Include",260
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,1017,"Include",261
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,1350,"Include",262
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1467,"Include",263
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1950,"Include",264
