"exp","id","item","trial","isold","condition1","rating","excluding"
"WHD2018_e1","WHD2018_e1_103","pak",1185,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","elleboog",1186,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","winst",1187,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","advocaat",1188,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","inkt",1189,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","biet",1190,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","enthousiasme",1191,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","deur",1192,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","stropdas",1193,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","lente",1194,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","stoep",1195,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","helm",1196,0,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","blos",1197,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","merrie",1198,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","kleermaker",1199,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","biscuit",1200,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","piep",1201,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","pijn",1202,1,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","afgrond",1203,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","venster",1204,1,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","katachtige",1205,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","alligator",1206,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","vet",1207,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","literatuur",1208,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","astronomie",1209,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","eigendom",1210,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","gast",1211,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","uitreiking",1212,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","salade",1213,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","schemering",1214,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","rebel",1215,1,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","certificaat",1216,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","arm",1217,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","leeuwerik",1218,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","tik",1219,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","kruin",1220,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","post",1221,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","kampioen",1222,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","pan",1223,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","school",1224,1,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","orgaan",1225,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","veeg",1226,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","prooi",1227,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","voet",1228,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","sleur",1229,1,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","laars",1230,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","jaloezie",1231,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","conventie",1232,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","cement",1233,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","dierentuin",1234,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","tij",1235,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","krant",1236,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","gebouw",1237,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","schedel",1238,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","geboorte",1239,0,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","modder",1240,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","misdrijf",1241,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","vacht",1242,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","geest",1243,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","vlucht",1244,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","vlo",1245,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","stuifmeel",1246,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","ontspanning",1247,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","knuppel",1248,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","glazuur",1249,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","vogel",1250,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","boord",1251,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","knie",1252,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","reus",1253,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","adolescentie",1254,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","wolkenkrabber",1255,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","puppy",1256,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","knoflook",1257,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","diamant",1258,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","lichaam",1259,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","aarde",1260,1,"Vertex",6,"Include"
